                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9687,                 2.6867,                 2.0686,                 1.8549,                 3.5473,                 1.9091,                0.37636,                0.41603,                0.35717,                0.15809,                 1.8108,                 1.8461,                 1.7866,                 1.7782,                 2.2637,                  1.726,              0.0033071,              0.0033071,              0.0033071
                      2,                 1.7793,                 1.6888,                 1.7416,                 1.7632,                 1.9739,                 1.6905,                0.38322,                0.46571,                0.39861,                0.17436,                 1.7712,                 2.0385,                 1.6934,                 1.7732,                 2.3126,                 1.6879,              0.0066338,              0.0066338,              0.0066338
                      3,                 1.7793,                 1.6239,                 1.7022,                 1.7817,                 1.8893,                 1.6783,                0.32466,                0.34688,                0.27147,                0.10104,                 2.1685,                 3.1836,                 2.0431,                 2.1626,                 3.5079,                 2.0083,               0.009954,               0.009954,               0.009954
                      4,                 1.8061,                 1.6142,                 1.7142,                  1.817,                 1.8808,                 1.6925,                0.36512,                0.32033,                0.26177,                0.10837,                 2.0097,                 2.1954,                 1.9459,                 2.0132,                 2.5537,                 1.9424,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.7549,                 1.5174,                 1.6911,                 1.7718,                 1.7636,                 1.6811,                0.47904,                0.48385,                0.46008,                0.21319,                 1.7119,                 1.8421,                 1.7013,                 1.7788,                 2.1198,                 1.7313,              0.0099703,              0.0099703,              0.0099703
                      6,                  1.731,                  1.418,                 1.6599,                 1.7538,                 1.6478,                 1.6599,                0.59835,                0.50132,                0.54218,                0.24772,                 1.6894,                 1.3774,                 1.6373,                 1.7312,                 1.5022,                 1.6674,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.7027,                  1.349,                 1.6507,                 1.7372,                 1.5458,                 1.6584,                0.55347,                0.54981,                0.56561,                0.26642,                 1.6412,                 1.3838,                 1.6267,                 1.6936,                 1.4939,                 1.6588,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.6751,                  1.328,                 1.6351,                 1.7122,                 1.5188,                 1.6471,                0.60964,                0.57288,                0.59587,                0.28429,                 1.6137,                 1.2788,                 1.5844,                 1.6584,                 1.3638,                 1.6076,              0.0099406,              0.0099406,              0.0099406
                      9,                  1.663,                 1.2787,                 1.6185,                 1.7046,                 1.4552,                 1.6335,                0.63255,                  0.627,                0.64403,                0.29796,                 1.6262,                 1.1372,                 1.5929,                 1.6904,                 1.1815,                 1.6448,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.6407,                 1.2433,                 1.5989,                 1.6859,                 1.4116,                 1.6174,                0.64477,                0.61597,                0.64965,                0.30306,                 1.6358,                 1.1519,                 1.5867,                 1.6822,                 1.1935,                 1.6094,              0.0099208,              0.0099208,              0.0099208
